filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM049.,1,1,M:,(.)
NCCU-TM049.,1,1,M:,還
NCCU-TM049.,1,1,M:,有
NCCU-TM049.,1,1,M:,嗎
NCCU-TM049.,1,1,M:,?
NCCU-TM049.,2,2,F1:,(.)
NCCU-TM049.,2,2,F1:,好
NCCU-TM049.,2,2,F1:,.
NCCU-TM049.,3,3,F2:,(.)
NCCU-TM049.,3,3,F2:,@
NCCU-TM049.,4,4,M:,(.)
NCCU-TM049.,4,4,M:,再來
NCCU-TM049.,4,4,M:,啊
NCCU-TM049.,4,4,M:,.
NCCU-TM049.,4,5,M:,(.)
NCCU-TM049.,4,5,M:,再
NCCU-TM049.,4,5,M:,說
NCCU-TM049.,4,5,M:,一堂
NCCU-TM049.,4,5,M:,課
NCCU-TM049.,4,5,M:,","
NCCU-TM049.,4,6,M:,(.)
NCCU-TM049.,4,6,M:,讓
NCCU-TM049.,4,6,M:,我
NCCU-TM049.,4,6,M:,感受
NCCU-TM049.,4,6,M:,一下
NCCU-TM049.,4,6,M:,.
NCCU-TM049.,4,7,M:,(...)
NCCU-TM049.,4,7,M:,沒有
NCCU-TM049.,4,7,M:,了
NCCU-TM049.,4,7,M:,嘛
NCCU-TM049.,4,7,M:,?
NCCU-TM049.,4,8,M:,(...)
NCCU-TM049.,4,8,M:,沒有
NCCU-TM049.,4,8,M:,了
NCCU-TM049.,4,8,M:,嘛
NCCU-TM049.,4,8,M:,?
NCCU-TM049.,4,9,M:,(.)
NCCU-TM049.,4,9,M:,啊
NCCU-TM049.,4,9,M:,","
NCCU-TM049.,4,10,M:,(.)
NCCU-TM049.,4,10,M:,有
NCCU-TM049.,4,10,M:,Homework
NCCU-TM049.,4,10,M:,三
NCCU-TM049.,4,10,M:,嗎
NCCU-TM049.,4,10,M:,?
NCCU-TM049.,5,11,F2:,(.)
NCCU-TM049.,5,11,F2:,好像
NCCU-TM049.,5,11,F2:,[還
NCCU-TM049.,5,11,F2:,沒
NCCU-TM049.,5,11,F2:,說]
NCCU-TM049.,5,11,F2:,.
NCCU-TM049.,6,12,F1:,[還
NCCU-TM049.,6,12,F1:,沒
NCCU-TM049.,6,12,F1:,吧]
NCCU-TM049.,6,12,F1:,.
NCCU-TM049.,7,13,M:,(0)
NCCU-TM049.,7,13,M:,Yeah
NCCU-TM049.,7,13,M:,啊
NCCU-TM049.,7,13,M:,","
NCCU-TM049.,7,14,M:,有
NCCU-TM049.,7,14,M:,期中
NCCU-TM049.,7,14,M:,考
NCCU-TM049.,7,14,M:,嗎
NCCU-TM049.,7,14,M:,.
NCCU-TM049.,8,15,F1:,(.)
NCCU-TM049.,8,15,F1:,他
NCCU-TM049.,8,15,F1:,[2沒2]
NCCU-TM049.,8,15,F1:,考試
NCCU-TM049.,8,15,F1:,吧
NCCU-TM049.,8,15,F1:,.
NCCU-TM049.,8,16,F1:,(.)
NCCU-TM049.,8,16,F1:,我
NCCU-TM049.,8,16,F1:,記
NCCU-TM049.,8,16,F1:,得
NCCU-TM049.,8,16,F1:,就
NCCU-TM049.,8,16,F1:,只有
NCCU-TM049.,8,16,F1:,期末
NCCU-TM049.,8,16,F1:,報告
NCCU-TM049.,8,16,F1:,.
NCCU-TM049.,9,17,F2:,[2沒有
NCCU-TM049.,9,17,F2:,","
NCCU-TM049.,9,18,F2:,(.)2]
NCCU-TM049.,9,18,F2:,就
NCCU-TM049.,9,18,F2:,期末
NCCU-TM049.,9,18,F2:,報告
NCCU-TM049.,9,18,F2:,.
NCCU-TM049.,10,19,M:,(0)
NCCU-TM049.,10,19,M:,但
NCCU-TM049.,10,19,M:,我
NCCU-TM049.,10,19,M:,機器學習
NCCU-TM049.,10,19,M:,下
NCCU-TM049.,10,19,M:,禮拜
NCCU-TM049.,10,19,M:,要
NCCU-TM049.,10,19,M:,期中
NCCU-TM049.,10,19,M:,考
NCCU-TM049.,10,19,M:,欸
NCCU-TM049.,10,19,M:,.
NCCU-TM049.,11,20,F1:,(.)
NCCU-TM049.,11,20,F1:,什麼
NCCU-TM049.,11,20,F1:,?
NCCU-TM049.,12,21,M:,(.)
NCCU-TM049.,12,21,M:,那
NCCU-TM049.,12,21,M:,個
NCCU-TM049.,12,21,M:,機器學習
NCCU-TM049.,12,21,M:,概論
NCCU-TM049.,12,21,M:,.
NCCU-TM049.,13,22,F2:,(.)
NCCU-TM049.,13,22,F2:,哦
NCCU-TM049.,13,22,F2:,=
NCCU-TM049.,13,22,F2:,你
NCCU-TM049.,13,22,F2:,後來
NCCU-TM049.,13,22,F2:,有
NCCU-TM049.,13,22,F2:,去
NCCU-TM049.,13,22,F2:,修
NCCU-TM049.,13,22,F2:,?
NCCU-TM049.,14,23,F1:,(.)
NCCU-TM049.,14,23,F1:,誰
NCCU-TM049.,14,23,F1:,的
NCCU-TM049.,14,23,F1:,啊
NCCU-TM049.,14,23,F1:,?
NCCU-TM049.,15,24,F2:,(.)
NCCU-TM049.,15,24,F2:,禮拜四
NCCU-TM049.,15,24,F2:,下午
NCCU-TM049.,15,24,F2:,那個
NCCU-TM049.,15,24,F2:,","
NCCU-TM049.,16,25,M:,(.)
NCCU-TM049.,16,25,M:,禮拜二
NCCU-TM049.,16,25,M:,早上
NCCU-TM049.,16,25,M:,--
NCCU-TM049.,16,26,M:,(.)
NCCU-TM049.,16,26,M:,資科
NCCU-TM049.,16,26,M:,的
NCCU-TM049.,16,26,M:,啊
NCCU-TM049.,16,26,M:,.
NCCU-TM049.,16,27,M:,(.)
NCCU-TM049.,16,27,M:,我
NCCU-TM049.,16,27,M:,跟
NCCU-TM049.,16,27,M:,劉
NCCU-TM049.,16,27,M:,還有
NCCU-TM049.,16,27,M:,呂
NCCU-TM049.,16,27,M:,.
NCCU-TM049.,17,28,F2:,(...)
NCCU-TM049.,17,28,F2:,誰上
NCCU-TM049.,17,28,F2:,的
NCCU-TM049.,17,28,F2:,啊
NCCU-TM049.,17,28,F2:,?
NCCU-TM049.,18,29,M:,(.)
NCCU-TM049.,18,29,M:,嗯
NCCU-TM049.,18,29,M:,=
NCCU-TM049.,18,29,M:,我
NCCU-TM049.,18,29,M:,看看
NCCU-TM049.,18,29,M:,.
NCCU-TM049.,19,30,F2:,(.)
NCCU-TM049.,19,30,F2:,說不定
NCCU-TM049.,19,30,F2:,","
NCCU-TM049.,19,31,F2:,(.)
NCCU-TM049.,19,31,F2:,我
NCCU-TM049.,19,31,F2:,可以
NCCU-TM049.,19,31,F2:,幫
NCCU-TM049.,19,31,F2:,你
NCCU-TM049.,19,31,F2:,拿到
NCCU-TM049.,19,31,F2:,考古
NCCU-TM049.,19,31,F2:,題
NCCU-TM049.,19,31,F2:,.
NCCU-TM049.,20,32,M:,(.)
NCCU-TM049.,20,32,M:,[哎
NCCU-TM049.,20,32,M:,呦]
NCCU-TM049.,20,32,M:,.
NCCU-TM049.,21,33,F1:,[哎
NCCU-TM049.,21,33,F1:,呦]
NCCU-TM049.,21,33,F1:,你
NCCU-TM049.,21,33,F1:,說
NCCU-TM049.,21,33,F1:,問
NCCU-TM049.,21,33,F1:,資科
NCCU-TM049.,21,33,F1:,的
NCCU-TM049.,21,33,F1:,[2宅宅
NCCU-TM049.,21,33,F1:,們2]
NCCU-TM049.,21,33,F1:,.
NCCU-TM049.,22,34,M:,[2宅宅
NCCU-TM049.,22,34,M:,們2]
NCCU-TM049.,22,34,M:,.
NCCU-TM049.,23,35,F2:,(.)
NCCU-TM049.,23,35,F2:,你
NCCU-TM049.,23,35,F2:,看
NCCU-TM049.,23,35,F2:,你們
NCCU-TM049.,23,35,F2:,就
NCCU-TM049.,23,35,F2:,這樣
NCCU-TM049.,23,35,F2:,#
NCCU-TM049.,23,35,F2:,誤會
NCCU-TM049.,23,35,F2:,我
NCCU-TM049.,23,35,F2:,.
NCCU-TM049.,24,36,F1:,(.)
NCCU-TM049.,24,36,F1:,沒有
NCCU-TM049.,24,36,F1:,我
NCCU-TM049.,24,36,F1:,只是
NCCU-TM049.,24,36,F1:,順著
NCCU-TM049.,24,36,F1:,你
NCCU-TM049.,24,36,F1:,的
NCCU-TM049.,24,36,F1:,話
NCCU-TM049.,24,36,F1:,.
NCCU-TM049.,25,37,M:,(.)
NCCU-TM049.,25,37,M:,劉
NCCU-TM049.,25,37,M:,.
NCCU-TM049.,26,38,F2:,(.)
NCCU-TM049.,26,38,F2:,哦
NCCU-TM049.,26,38,F2:,=
NCCU-TM049.,26,38,F2:,.
NCCU-TM049.,27,39,M:,(.)
NCCU-TM049.,27,39,M:,有
NCCU-TM049.,27,39,M:,嗎
NCCU-TM049.,27,39,M:,?
NCCU-TM049.,27,40,M:,(.)
NCCU-TM049.,27,40,M:,不
NCCU-TM049.,27,40,M:,熟
NCCU-TM049.,27,40,M:,.
NCCU-TM049.,28,41,F2:,(.)
NCCU-TM049.,28,41,F2:,我
NCCU-TM049.,28,41,F2:,有
NCCU-TM049.,28,41,F2:,--
NCCU-TM049.,28,42,F2:,(...)
NCCU-TM049.,28,42,F2:,認識
NCCU-TM049.,28,42,F2:,可以
NCCU-TM049.,28,42,F2:,開個
NCCU-TM049.,28,42,F2:,口
NCCU-TM049.,28,42,F2:,問問
NCCU-TM049.,28,42,F2:,這樣
NCCU-TM049.,28,42,F2:,.
NCCU-TM049.,29,43,F1:,(.)
NCCU-TM049.,29,43,F1:,他
NCCU-TM049.,29,43,F1:,是
NCCU-TM049.,29,43,F1:,考
NCCU-TM049.,29,43,F1:,考古題
NCCU-TM049.,29,43,F1:,喔
NCCU-TM049.,29,43,F1:,.
NCCU-TM049.,30,44,M:,(.)
NCCU-TM049.,30,44,M:,Yeah
NCCU-TM049.,30,44,M:,劉
NCCU-TM049.,30,44,M:,","
NCCU-TM049.,30,45,M:,(.)
NCCU-TM049.,30,45,M:,我
NCCU-TM049.,30,45,M:,不
NCCU-TM049.,30,45,M:,知道
NCCU-TM049.,30,45,M:,啊
NCCU-TM049.,30,45,M:,.
NCCU-TM049.,30,46,M:,(.)
NCCU-TM049.,30,46,M:,他
NCCU-TM049.,30,46,M:,第一
NCCU-TM049.,30,46,M:,堂課
NCCU-TM049.,30,46,M:,就
NCCU-TM049.,30,46,M:,一直
NCCU-TM049.,30,46,M:,在
NCCU-TM049.,30,46,M:,講
NCCU-TM049.,30,46,M:,線性
NCCU-TM049.,30,46,M:,迴歸
NCCU-TM049.,30,47,M:,(.)
NCCU-TM049.,30,47,M:,我
NCCU-TM049.,30,47,M:,就
NCCU-TM049.,30,47,M:,覺
NCCU-TM049.,30,47,M:,得
NCCU-TM049.,30,47,M:,超
NCCU-TM049.,30,47,M:,無聊
NCCU-TM049.,30,47,M:,的
NCCU-TM049.,30,47,M:,.
NCCU-TM049.,30,48,M:,(.)
NCCU-TM049.,30,48,M:,然後
NCCU-TM049.,30,48,M:,第二
NCCU-TM049.,30,48,M:,堂課
NCCU-TM049.,30,48,M:,去
NCCU-TM049.,30,48,M:,還
NCCU-TM049.,30,48,M:,是
NCCU-TM049.,30,48,M:,在
NCCU-TM049.,30,48,M:,講
NCCU-TM049.,30,48,M:,線性
NCCU-TM049.,30,48,M:,迴歸
NCCU-TM049.,30,48,M:,.
NCCU-TM049.,30,49,M:,(.)
NCCU-TM049.,30,49,M:,我
NCCU-TM049.,30,49,M:,想
NCCU-TM049.,30,49,M:,說
NCCU-TM049.,30,49,M:,你
NCCU-TM049.,30,49,M:,到底
NCCU-TM049.,30,49,M:,要
NCCU-TM049.,30,49,M:,講
NCCU-TM049.,30,49,M:,到
NCCU-TM049.,30,49,M:,什麼
NCCU-TM049.,30,49,M:,時候
NCCU-TM049.,30,49,M:,.
NCCU-TM049.,31,50,F1:,(.)
NCCU-TM049.,31,50,F1:,所以
NCCU-TM049.,31,50,F1:,你
NCCU-TM049.,31,50,F1:,最後
NCCU-TM049.,31,50,F1:,去
NCCU-TM049.,31,50,F1:,了
NCCU-TM049.,31,50,F1:,幾
NCCU-TM049.,31,50,F1:,堂
NCCU-TM049.,31,50,F1:,?
NCCU-TM049.,32,51,M:,(.)
NCCU-TM049.,32,51,M:,然後
NCCU-TM049.,32,51,M:,就
NCCU-TM049.,32,51,M:,","
NCCU-TM049.,32,52,M:,(.)
NCCU-TM049.,32,52,M:,再
NCCU-TM049.,32,52,M:,也
NCCU-TM049.,32,52,M:,沒去
NCCU-TM049.,32,52,M:,了
NCCU-TM049.,32,52,M:,.
NCCU-TM049.,32,53,M:,(.)
NCCU-TM049.,32,53,M:,我
NCCU-TM049.,32,53,M:,去
NCCU-TM049.,32,53,M:,了
NCCU-TM049.,32,53,M:,三
NCCU-TM049.,32,53,M:,次
NCCU-TM049.,32,53,M:,了
NCCU-TM049.,32,53,M:,","
NCCU-TM049.,32,54,M:,(.)
NCCU-TM049.,32,54,M:,去
NCCU-TM049.,32,54,M:,了
NCCU-TM049.,32,54,M:,三
NCCU-TM049.,32,54,M:,週
NCCU-TM049.,32,54,M:,.
NCCU-TM049.,33,55,F1:,(.)
NCCU-TM049.,33,55,F1:,會
NCCU-TM049.,33,55,F1:,不會
NCCU-TM049.,33,55,F1:,發現
NCCU-TM049.,33,55,F1:,今天
NCCU-TM049.,33,55,F1:,去
NCCU-TM049.,33,55,F1:,結果
NCCU-TM049.,33,55,F1:,發現
NCCU-TM049.,33,55,F1:,是
NCCU-TM049.,33,55,F1:,今天
NCCU-TM049.,33,55,F1:,考
NCCU-TM049.,33,55,F1:,.
NCCU-TM049.,34,56,M:,(.)
NCCU-TM049.,34,56,M:,沒有
NCCU-TM049.,34,56,M:,","
NCCU-TM049.,34,57,M:,(.)
NCCU-TM049.,34,57,M:,我
NCCU-TM049.,34,57,M:,去
NCCU-TM049.,34,57,M:,了
NCCU-TM049.,34,57,M:,三
NCCU-TM049.,34,57,M:,週
NCCU-TM049.,34,57,M:,就
NCCU-TM049.,34,57,M:,三
NCCU-TM049.,34,57,M:,週
NCCU-TM049.,34,57,M:,.
NCCU-TM049.,35,58,F2:,(.)
NCCU-TM049.,35,58,F2:,沒有
NCCU-TM049.,35,58,F2:,","
NCCU-TM049.,35,59,F2:,(.)
NCCU-TM049.,35,59,F2:,他
NCCU-TM049.,35,59,F2:,的
NCCU-TM049.,35,59,F2:,意思
NCCU-TM049.,35,59,F2:,是
NCCU-TM049.,35,59,F2:,說不定
NCCU-TM049.,35,59,F2:,是
NCCU-TM049.,35,59,F2:,今天
NCCU-TM049.,35,59,F2:,考試
NCCU-TM049.,35,59,F2:,你
NCCU-TM049.,35,59,F2:,已
NCCU-TM049.,35,59,F2:,經
NCCU-TM049.,35,59,F2:,--
NCCU-TM049.,36,60,M:,(.)
NCCU-TM049.,36,60,M:,沒有
NCCU-TM049.,36,60,M:,","
NCCU-TM049.,36,61,M:,(.)
NCCU-TM049.,36,61,M:,禮拜二
NCCU-TM049.,36,61,M:,啊
NCCU-TM049.,36,61,M:,.
NCCU-TM049.,36,62,M:,(.)
NCCU-TM049.,36,62,M:,禮拜二
NCCU-TM049.,36,62,M:,.
NCCU-TM049.,36,63,M:,(.)
NCCU-TM049.,36,63,M:,可是
NCCU-TM049.,36,63,M:,我
NCCU-TM049.,36,63,M:,問
NCCU-TM049.,36,63,M:,了
NCCU-TM049.,36,63,M:,劉
NCCU-TM049.,36,63,M:,和
NCCU-TM049.,36,63,M:,呂
NCCU-TM049.,36,63,M:,說
NCCU-TM049.,36,63,M:,他們
NCCU-TM049.,36,63,M:,都
NCCU-TM049.,36,63,M:,沒去
NCCU-TM049.,36,63,M:,.
NCCU-TM049.,36,64,M:,(.)
NCCU-TM049.,36,64,M:,所以
NCCU-TM049.,36,64,M:,就
NCCU-TM049.,36,64,M:,--
NCCU-TM049.,36,65,M:,(.)
NCCU-TM049.,36,65,M:,嗯
NCCU-TM049.,36,65,M:,=
NCCU-TM049.,36,66,M:,(.)
NCCU-TM049.,36,66,M:,沒
NCCU-TM049.,36,66,M:,關係
NCCU-TM049.,36,66,M:,.
NCCU-TM049.,37,67,F1:,(.)
NCCU-TM049.,37,67,F1:,結果
NCCU-TM049.,37,67,F1:,你們
NCCU-TM049.,37,67,F1:,都
NCCU-TM049.,37,67,F1:,不
NCCU-TM049.,37,67,F1:,知道
NCCU-TM049.,37,67,F1:,這週
NCCU-TM049.,37,67,F1:,其實
NCCU-TM049.,37,67,F1:,就
NCCU-TM049.,37,67,F1:,已經
NCCU-TM049.,37,67,F1:,考
NCCU-TM049.,37,67,F1:,完了
NCCU-TM049.,37,67,F1:,這樣
NCCU-TM049.,37,67,F1:,.
NCCU-TM049.,38,68,F2:,(.)
NCCU-TM049.,38,68,F2:,哦
NCCU-TM049.,38,68,F2:,好
NCCU-TM049.,38,68,F2:,那
NCCU-TM049.,38,68,F2:,我
NCCU-TM049.,38,68,F2:,可以
NCCU-TM049.,38,68,F2:,幫
NCCU-TM049.,38,68,F2:,你
NCCU-TM049.,38,68,F2:,問
NCCU-TM049.,38,68,F2:,一下
NCCU-TM049.,38,68,F2:,.
NCCU-TM049.,39,69,M:,(.)
NCCU-TM049.,39,69,M:,沒有
NCCU-TM049.,39,69,M:,其
NCCU-TM049.,39,69,M:,實
NCCU-TM049.,39,69,M:,他
NCCU-TM049.,39,69,M:,說
NCCU-TM049.,39,69,M:,已經
NCCU-TM049.,39,69,M:,考
NCCU-TM049.,39,69,M:,完了
NCCU-TM049.,39,69,M:,.
NCCU-TM049.,40,70,F2:,(.)
NCCU-TM049.,40,70,F2:,喔
NCCU-TM049.,40,70,F2:,對
NCCU-TM049.,40,70,F2:,.
NCCU-TM049.,40,71,F2:,(.)
NCCU-TM049.,40,71,F2:,說不定
NCCU-TM049.,40,71,F2:,其實
NCCU-TM049.,40,71,F2:,考
NCCU-TM049.,40,71,F2:,完了
NCCU-TM049.,40,71,F2:,.
NCCU-TM049.,41,72,F1:,(.)
NCCU-TM049.,41,72,F1:,說不定
NCCU-TM049.,41,72,F1:,考
NCCU-TM049.,41,72,F1:,完了
NCCU-TM049.,41,72,F1:,GG
NCCU-TM049.,41,72,F1:,.
NCCU-TM049.,42,73,F2:,(.)
NCCU-TM049.,42,73,F2:,沒有拉
NCCU-TM049.,42,73,F2:,.
NCCU-TM049.,42,74,F2:,(.)
NCCU-TM049.,42,74,F2:,他們
NCCU-TM049.,42,74,F2:,資科
NCCU-TM049.,42,74,F2:,的
NCCU-TM049.,42,74,F2:,老師
NCCU-TM049.,42,74,F2:,都
NCCU-TM049.,42,74,F2:,喜歡
NCCU-TM049.,42,74,F2:,在
NCCU-TM049.,42,74,F2:,當週
NCCU-TM049.,42,74,F2:,.
NCCU-TM049.,43,75,M:,(.)
NCCU-TM049.,43,75,M:,真的
NCCU-TM049.,43,75,M:,喔
NCCU-TM049.,43,75,M:,.
NCCU-TM049.,43,76,M:,(...)
NCCU-TM049.,43,76,M:,有
NCCU-TM049.,43,76,M:,有
NCCU-TM049.,43,76,M:,四月
NCCU-TM049.,43,76,M:,十六
NCCU-TM049.,43,76,M:,有
NCCU-TM049.,43,76,M:,建議
NCCU-TM049.,43,76,M:,作業
NCCU-TM049.,43,76,M:,那
NCCU-TM049.,43,76,M:,就
NCCU-TM049.,43,76,M:,一定
NCCU-TM049.,43,76,M:,沒有
NCCU-TM049.,43,76,M:,考試
NCCU-TM049.,43,76,M:,.
NCCU-TM049.,43,77,M:,(...)
NCCU-TM049.,43,77,M:,因為
NCCU-TM049.,43,77,M:,它
NCCU-TM049.,43,77,M:,都
NCCU-TM049.,43,77,M:,會
NCCU-TM049.,43,77,M:,它
NCCU-TM049.,43,77,M:,都
NCCU-TM049.,43,77,M:,會
NCCU-TM049.,43,77,M:,po
NCCU-TM049.,43,77,M:,在
NCCU-TM049.,43,77,M:,moodle
NCCU-TM049.,43,77,M:,.
NCCU-TM049.,43,78,M:,(...)
NCCU-TM049.,43,78,M:,然後
NCCU-TM049.,43,78,M:,有人
NCCU-TM049.,43,78,M:,回
NCCU-TM049.,43,78,M:,他
NCCU-TM049.,43,78,M:,建議
NCCU-TM049.,43,78,M:,作業
NCCU-TM049.,43,78,M:,就
NCCU-TM049.,43,78,M:,會
NCCU-TM049.,43,78,M:,一直
NCCU-TM049.,43,78,M:,寄信
NCCU-TM049.,43,78,M:,給
NCCU-TM049.,43,78,M:,我
NCCU-TM049.,43,78,M:,.
NCCU-TM049.,43,79,M:,(...)
NCCU-TM049.,43,79,M:,所以
NCCU-TM049.,43,79,M:,我
NCCU-TM049.,43,79,M:,現在
NCCU-TM049.,43,79,M:,被
NCCU-TM049.,43,79,M:,它
NCCU-TM049.,43,79,M:,佔滿
NCCU-TM049.,43,79,M:,了
NCCU-TM049.,43,79,M:,.
NCCU-TM049.,43,80,M:,(.)
NCCU-TM049.,43,80,M:,我
NCCU-TM049.,43,80,M:,的
NCCU-TM049.,43,80,M:,信箱
NCCU-TM049.,43,80,M:,被
NCCU-TM049.,43,80,M:,被
NCCU-TM049.,43,80,M:,M
NCCU-TM049.,43,80,M:,L
NCCU-TM049.,43,80,M:,佔滿
NCCU-TM049.,43,80,M:,了
NCCU-TM049.,43,80,M:,","
NCCU-TM049.,43,81,M:,(.)
NCCU-TM049.,43,81,M:,但
NCCU-TM049.,43,81,M:,我
NCCU-TM049.,43,81,M:,從來
NCCU-TM049.,43,81,M:,沒有
NCCU-TM049.,43,81,M:,打開
NCCU-TM049.,43,81,M:,來過
NCCU-TM049.,43,81,M:,.
NCCU-TM049.,44,82,F1:,(.)
NCCU-TM049.,44,82,F1:,可是
NCCU-TM049.,44,82,F1:,實用
NCCU-TM049.,44,82,F1:,投資
NCCU-TM049.,44,82,F1:,學會
NCCU-TM049.,44,82,F1:,一直
NCCU-TM049.,44,82,F1:,寄信
NCCU-TM049.,44,82,F1:,.
NCCU-TM049.,45,83,F2:,(.)
NCCU-TM049.,45,83,F2:,嗯
NCCU-TM049.,45,83,F2:,.
NCCU-TM049.,46,84,M:,(.)
NCCU-TM049.,46,84,M:,真的
NCCU-TM049.,46,84,M:,喔
NCCU-TM049.,46,84,M:,.
NCCU-TM049.,47,85,F1:,(.)
NCCU-TM049.,47,85,F1:,你
NCCU-TM049.,47,85,F1:,寫
NCCU-TM049.,47,85,F1:,了
NCCU-TM049.,47,85,F1:,嗎
NCCU-TM049.,47,85,F1:,?
NCCU-TM049.,48,86,F2:,(.)
NCCU-TM049.,48,86,F2:,還沒
NCCU-TM049.,48,86,F2:,","
NCCU-TM049.,48,87,F2:,(.)
NCCU-TM049.,48,87,F2:,我
NCCU-TM049.,48,87,F2:,還
NCCU-TM049.,48,87,F2:,沒
NCCU-TM049.,48,87,F2:,動
NCCU-TM049.,48,87,F2:,.
NCCU-TM049.,49,88,M:,(.)
NCCU-TM049.,49,88,M:,一定
NCCU-TM049.,49,88,M:,要
NCCU-TM049.,49,88,M:,寫
NCCU-TM049.,49,88,M:,喔
NCCU-TM049.,49,88,M:,.
NCCU-TM049.,50,89,F1:,(.)
NCCU-TM049.,50,89,F1:,因為
NCCU-TM049.,50,89,F1:,我們
NCCU-TM049.,50,89,F1:,那
NCCU-TM049.,50,89,F1:,是
NCCU-TM049.,50,89,F1:,[期
NCCU-TM049.,50,89,F1:,中
NCCU-TM049.,50,89,F1:,考]
NCCU-TM049.,50,89,F1:,.
NCCU-TM049.,51,90,F2:,[期
NCCU-TM049.,51,90,F2:,中
NCCU-TM049.,51,90,F2:,考]
NCCU-TM049.,51,90,F2:,.
NCCU-TM049.,52,91,M:,(.)
NCCU-TM049.,52,91,M:,哦
NCCU-TM049.,52,91,M:,=
NCCU-TM049.,52,91,M:,我
NCCU-TM049.,52,91,M:,下午
NCCU-TM049.,52,91,M:,--
NCCU-TM049.,53,92,F1:,(.)
NCCU-TM049.,53,92,F1:,但
NCCU-TM049.,53,92,F1:,他
NCCU-TM049.,53,92,F1:,要
NCCU-TM049.,53,92,F1:,打印
NCCU-TM049.,53,92,F1:,出來
NCCU-TM049.,53,92,F1:,我
NCCU-TM049.,53,92,F1:,都
NCCU-TM049.,53,92,F1:,覺
NCCU-TM049.,53,92,F1:,得
NCCU-TM049.,53,92,F1:,很
NCCU-TM049.,53,92,F1:,微妙
NCCU-TM049.,53,92,F1:,.
NCCU-TM049.,54,93,M:,(.)
NCCU-TM049.,54,93,M:,我
NCCU-TM049.,54,93,M:,下午
NCCU-TM049.,54,93,M:,還
NCCU-TM049.,54,93,M:,有
NCCU-TM049.,54,93,M:,一
NCCU-TM049.,54,93,M:,堂
NCCU-TM049.,54,93,M:,課
NCCU-TM049.,54,93,M:,要
NCCU-TM049.,54,93,M:,打
NCCU-TM049.,54,93,M:,心得
NCCU-TM049.,54,93,M:,超
NCCU-TM049.,54,93,M:,智障
NCCU-TM049.,54,93,M:,的
NCCU-TM049.,54,93,M:,.
NCCU-TM049.,55,94,F1:,(.)
NCCU-TM049.,55,94,F1:,你
NCCU-TM049.,55,94,F1:,下午
NCCU-TM049.,55,94,F1:,不是
NCCU-TM049.,55,94,F1:,--
NCCU-TM049.,56,95,M:,(.)
NCCU-TM049.,56,95,M:,程式
NCCU-TM049.,56,95,M:,設計
NCCU-TM049.,56,95,M:,概論[2為
NCCU-TM049.,56,95,M:,什麼
NCCU-TM049.,56,95,M:,要
NCCU-TM049.,56,95,M:,打
NCCU-TM049.,56,95,M:,心得2]
NCCU-TM049.,56,95,M:,.
NCCU-TM049.,57,96,F1:,[2要
NCCU-TM049.,57,96,F1:,打
NCCU-TM049.,57,96,F1:,心得2]這
NCCU-TM049.,57,96,F1:,是
NCCU-TM049.,57,96,F1:,什麼
NCCU-TM049.,57,96,F1:,?
NCCU-TM049.,58,97,M:,(.)
NCCU-TM049.,58,97,M:,那
NCCU-TM049.,58,97,M:,個
NCCU-TM049.,58,97,M:,老師
NCCU-TM049.,58,97,M:,就是
NCCU-TM049.,58,97,M:,一直
NCCU-TM049.,58,97,M:,很
NCCU-TM049.,58,97,M:,想
NCCU-TM049.,58,97,M:,要
NCCU-TM049.,58,97,M:,做
NCCU-TM049.,58,97,M:,那種
NCCU-TM049.,58,97,M:,翻轉
NCCU-TM049.,58,97,M:,教室
NCCU-TM049.,58,97,M:,的
NCCU-TM049.,58,97,M:,感覺
NCCU-TM049.,58,97,M:,.
NCCU-TM049.,59,98,F2:,(.)
NCCU-TM049.,59,98,F2:,你們
NCCU-TM049.,59,98,F2:,也
NCCU-TM049.,59,98,F2:,有
NCCU-TM049.,59,98,F2:,印
NCCU-TM049.,59,98,F2:,那種
NCCU-TM049.,59,98,F2:,聖誕樹
NCCU-TM049.,59,98,F2:,什麼
NCCU-TM049.,59,98,F2:,的
NCCU-TM049.,59,98,F2:,嗎
NCCU-TM049.,59,98,F2:,?
NCCU-TM049.,60,99,M:,(.)
NCCU-TM049.,60,99,M:,什麼
NCCU-TM049.,60,99,M:,聖誕樹
NCCU-TM049.,60,99,M:,.
NCCU-TM049.,61,100,F1:,(.)
NCCU-TM049.,61,100,F1:,你
NCCU-TM049.,61,100,F1:,是
NCCU-TM049.,61,100,F1:,學
NCCU-TM049.,61,100,F1:,哪
NCCU-TM049.,61,100,F1:,一
NCCU-TM049.,61,100,F1:,種
NCCU-TM049.,61,100,F1:,?
NCCU-TM049.,62,101,F2:,(.)
NCCU-TM049.,62,101,F2:,我
NCCU-TM049.,62,101,F2:,那
NCCU-TM049.,62,101,F2:,時候
NCCU-TM049.,62,101,F2:,","
NCCU-TM049.,62,102,F2:,(.)
NCCU-TM049.,62,102,F2:,在
NCCU-TM049.,62,102,F2:,引水人
NCCU-TM049.,62,102,F2:,值班室
NCCU-TM049.,62,102,F2:,.
NCCU-TM049.,62,103,F2:,(.)
NCCU-TM049.,62,103,F2:,就是
NCCU-TM049.,62,103,F2:,看到
NCCU-TM049.,62,103,F2:,一
NCCU-TM049.,62,103,F2:,個
